Player45OnsetTimes,13.1184,15.6984,17.0797,18.0182,18.7471,20.5058,21.6368,22.6098,23.5848,25.7512,26.9262,27.3418,28.0059,29.8983,31.1314,31.8564,32.4871,34.3494,35.6038,36.4443,38.1785,39.6047,40.6936,42.5112,43.3823,44.9411,46.0505,46.8412,47.6156,48.5730,49.7215,50.9378,52.0827,53.0913,54.0309,54.9840,56.0099,57.1045,58.2105,59.2942,60.3047,61.2961,62.2902,63.3232,64.3867,65.4487,66.4878,67.4942,68.4875,69.5059,70.5337,71.5755,72.6156,73.6349,74.6507,75.6573
Player46OnsetTimes,15.3045,15.8266,16.3433,17.1742,18.4131,19.9038,21.2812,22.6916,23.9270,24.9544,25.8831,27.8828,28.9842,29.5565,30.6192,31.5894,32.6031,34.8762,36.0621,36.5261,37.6069,38.9762,40.4803,41.8549,43.9280,45.2078,45.9457,46.5502,47.4181,48.6032,49.9107,51.1270,52.1481,53.0450,53.9536,54.9527,56.0549,57.1803,58.2737,59.2942,60.2880,61.2961,62.3204,63.3680,64.4340,65.4797,66.4878,67.4788,68.4875,69.5246,70.5793,71.6223,72.6482,73.6516,74.6507,75.6573
Player47OnsetTimes,12.8976,15.4745,17.0220,18.1342,18.9111,20.5170,21.5426,22.5052,23.5492,24.7074,25.9066,27.0963,28.1872,29.3346,30.4638,31.6240,32.7769,33.9112,34.9932,37.3824,38.7389,39.5245,40.2332,42.2170,43.4514,44.4830,45.5823,46.7474,47.9022,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player48OnsetTimes,13.5820,15.6387,16.6897,17.6802,18.6890,20.9452,22.1270,22.7789,24.0084,24.9672,25.8252,27.7921,28.9270,29.5565,30.6778,31.6475,32.6031,34.7609,35.9309,36.4680,37.7235,39.1228,40.5403,41.7946,43.7554,45.0688,45.9102,46.6070,47.4902,48.6327,49.8793,51.0643,52.0980,53.0290,53.9683,54.9840,56.0709,57.1653,58.2270,59.2491,60.2566,61.2808,62.3204,63.3680,64.4189,65.4487,66.4724,67.4788,68.5025,69.5392,70.5793,71.6065,72.6156,73.6183,74.6331,75.6573
Player49OnsetTimes,13.0595,15.6387,17.0686,18.0534,18.7934,20.5058,21.6133,22.5868,23.5848,24.6837,25.8603,27.0591,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4398,44.4720,45.5708,46.7353,47.9022,48.9883,49.9738,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player50OnsetTimes,13.6876,15.7446,16.7131,17.6167,18.6092,20.9571,22.1956,22.8393,23.9737,24.8854,25.7649,27.8482,29.0306,29.6150,30.5790,31.4953,32.5223,34.9113,36.1336,36.5615,37.5241,38.8589,40.4083,41.8549,44.0087,45.2798,45.9457,46.4925,47.3485,48.5730,49.9107,51.1426,52.1641,53.0450,53.9223,54.9219,56.0401,57.1803,58.2737,59.2942,60.2722,61.2660,62.2902,63.3532,64.4189,65.4643,66.4724,67.4788,68.5025,69.5392,70.5643,71.5911,72.6156,73.6349,74.6507,75.6727
Player51OnsetTimes,13.0368,15.6152,17.0572,18.0653,18.8173,20.5170,21.6014,22.5636,23.5723,24.6957,25.8831,27.0712,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4514,44.4830,45.5823,46.7353,47.8903,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player52OnsetTimes,14.9499,15.4745,15.9934,18.1687,19.6769,20.4361,21.3327,22.3376,23.5246,24.7913,25.9986,27.1075,28.1252,29.2585,30.4161,31.6128,32.7884,33.9231,34.9824,37.3247,38.6798,39.4899,40.2332,42.2520,43.4745,44.4720,45.5372,46.6992,47.8782,48.9717,49.9583,50.9229,51.9274,52.9798,54.0625,55.1247,56.1646,57.1803,58.1955,59.2329,60.2880,61.3420,62.3817,63.4139,64.4340,65.4487,66.4724,67.5089,68.5498,69.5715,70.5793,71.5911,72.6156,73.6516,74.6840,75.7032
Player53OnsetTimes,12.9199,15.4859,17.0220,18.1227,18.8998,20.5170,21.5426,22.5052,23.5492,24.7074,25.9066,27.0963,28.1872,29.3346,30.4638,31.6240,32.7769,33.9112,34.9932,37.3704,38.7275,39.5125,40.2332,42.2408,43.4745,44.4830,45.5591,46.7237,47.9022,48.9883,49.9738,50.9378,51.9431,52.9959,54.0785,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player54OnsetTimes,14.8453,15.3661,15.8407,18.1798,19.8065,20.5632,21.2812,23.1058,24.3242,25.0365,26.2707,27.1917,27.9941,30.0859,31.3195,31.8921,32.8588,33.7566,35.6866,36.9409,37.7351,38.7857,40.1858,43.1704,44.4016,44.7030,45.4106,47.3003,48.5279,49.1409,49.6035,51.1585,52.3695,53.1986,53.8933,54.7348,55.8350,57.0743,58.2737,59.3494,60.2880,61.2063,62.2001,63.2779,64.3867,65.4487,66.4575,67.4338,68.4281,69.4594,70.5186,71.5755,72.5997,73.6020,74.5996,75.6093
Player55OnsetTimes,13.1656,15.7446,17.0915,18.0069,18.7240,20.5058,21.6601,22.6332,23.5963,25.7167,26.8792,27.3190,28.0527,29.9814,31.1788,31.8333,32.4283,34.3095,35.6038,36.4680,38.2017,39.6047,40.6699,42.4695,43.3471,44.9647,46.0961,46.8642,47.6042,48.5419,49.6896,50.9229,52.0827,53.1071,54.0472,54.9840,55.9935,57.0894,58.1955,59.2778,60.3047,61.2961,62.2902,63.3232,64.3867,65.4487,66.4878,67.4942,68.4875,69.5059,70.5337,71.5755,72.6156,73.6349,74.6507,75.6573
Player56OnsetTimes,14.7632,15.7911,15.9696,17.6930,19.2220,20.3320,21.1166,23.3022,24.6580,25.2281,25.9870,27.5496,28.5582,29.3465,30.1698,32.4030,33.7317,34.2627,35.2720,37.0458,38.1438,39.1228,40.2215,42.6985,43.8939,44.5281,45.9801,47.0553,47.8782,48.6646,49.6035,50.7324,51.9431,53.0913,54.1242,55.0619,56.0099,57.0288,58.1193,59.2329,60.3047,61.3268,62.3204,63.3232,64.3712,65.4168,66.4575,67.4788,68.4875,69.5059,70.5337,71.5602,72.5997,73.6183,74.6331,75.6427
Player57OnsetTimes,13.0484,15.6267,17.0686,18.0653,18.8048,20.5058,21.6014,22.5746,23.5723,24.6837,25.8718,27.0712,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4514,44.4830,45.5823,46.7353,47.8903,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player58OnsetTimes,14.2624,15.8030,16.3544,17.2094,18.4589,19.9279,21.2812,22.6802,23.9270,24.9790,25.9179,27.9050,28.9958,29.5565,30.6192,31.6011,32.6278,33.7692,36.1103,37.3943,37.9183,39.4186,40.7050,41.7565,43.5092,44.8598,45.8985,46.7709,47.6842,48.7156,49.8314,50.9680,52.0513,53.0605,54.0472,55.0466,56.0866,57.1499,58.2105,59.2778,60.3205,61.3420,62.3514,63.3680,64.4022,65.4487,66.4878,67.5089,68.5330,69.5552,70.5793,71.6065,72.6320,73.6516,74.6676,75.6880
Player59OnsetTimes,13.2010,15.7911,17.1142,17.9948,18.7003,20.4938,21.6601,22.6332,23.5963,25.7167,26.8792,27.3190,28.0527,29.9814,31.1788,31.8333,32.4283,34.3095,35.6038,36.4680,38.2017,39.6047,40.6699,42.4695,43.3471,44.9647,46.0961,46.8642,47.6042,48.5419,49.6896,50.9229,52.0827,53.1071,54.0472,54.9840,55.9935,57.0894,58.1955,59.2778,60.3047,61.2961,62.2902,63.3232,64.3867,65.4487,66.4724,67.4788,68.4875,69.5059,70.5337,71.5755,72.6156,73.6349,74.6507,75.6573
Player60OnsetTimes,12.9088,15.4745,17.0099,18.1227,18.9111,20.5285,21.5426,22.4939,23.5360,24.7074,25.9179,27.1075,28.2007,29.3465,30.4638,31.6128,32.7656,33.9112,34.9932,37.3824,38.7389,39.5245,40.2332,42.2170,43.4514,44.4830,45.5823,46.7474,47.9022,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player61OnsetTimes,13.0707,15.6510,17.0686,18.0422,18.7819,20.5058,21.6133,22.5868,23.5848,24.6837,25.8603,27.0591,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4398,44.4720,45.5708,46.7353,47.9022,48.9883,49.9738,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player62OnsetTimes,14.0847,15.6267,16.3074,17.2909,18.5739,19.9846,21.2575,22.6098,23.8807,24.9790,25.9523,26.9503,28.0175,29.2883,30.5441,31.7406,32.8472,33.9112,35.9781,37.1727,37.8173,39.6882,41.0812,41.9607,43.2059,44.4260,45.7069,46.9110,47.9918,48.9567,49.8793,50.8587,51.9274,53.0450,54.1394,55.1710,56.1646,57.1653,58.1955,59.2491,60.3205,61.3720,62.3970,63.4139,64.4340,65.4643,66.5035,67.5404,68.5648,69.5863,70.5941,71.6065,72.6320,73.6677,74.7011,75.7180
Player63OnsetTimes,13.0368,15.6152,17.0572,18.0653,18.8173,20.5170,21.6014,22.5636,23.5723,24.6957,25.8831,27.0712,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4514,44.4830,45.5823,46.7353,47.8903,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player64OnsetTimes,13.0251,15.6034,17.0572,18.0764,18.8292,20.5058,21.5779,22.5520,23.5723,24.6957,25.8831,27.0712,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7741,39.5356,40.2215,42.1938,43.4398,44.4830,45.5823,46.7353,47.8903,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player65OnsetTimes,14.0617,15.6034,16.2961,17.3022,18.5975,19.9968,21.2451,22.5986,23.8692,24.9790,25.9637,26.9618,28.0175,29.2765,30.5330,31.7406,32.8472,33.9112,35.9781,37.1848,37.8291,39.6764,41.0575,41.9490,43.2173,44.4493,45.7182,46.9110,47.9789,48.9390,49.8629,50.8587,51.9431,53.0605,54.1394,55.1554,56.1496,57.1653,58.2105,59.2778,60.3357,61.3720,62.3970,63.4139,64.4340,65.4643,66.5035,67.5404,68.5648,69.5863,70.5941,71.6065,72.6320,73.6677,74.7011,75.7180
Player66OnsetTimes,13.4543,15.5101,16.6434,17.7185,18.7705,20.9800,22.1026,22.7288,24.0084,25.0020,25.8603,27.7807,28.8923,29.5329,30.7117,31.6938,32.6278,34.7388,35.8952,36.4561,37.7708,39.1815,40.5643,41.7825,43.7096,45.0221,45.8985,46.6300,47.5250,48.6487,49.8629,51.0321,52.0827,53.0450,53.9837,54.9840,56.0549,57.1499,58.2270,59.2778,60.2880,61.2961,62.3204,63.3680,64.4189,65.4487,66.4724,67.4942,68.5181,69.5392,70.5643,71.5911,72.6156,73.6349,74.6507,75.6727
Player67OnsetTimes,12.8747,15.4629,17.0220,18.1458,18.9225,20.5058,21.5187,22.4939,23.5610,24.7303,25.9294,27.0963,28.1742,29.3229,30.4638,31.6240,32.7769,33.9112,34.9932,37.3824,38.7389,39.5245,40.2332,42.2296,43.4630,44.4830,45.5708,46.7353,47.9022,48.9883,49.9738,50.9378,51.9431,52.9959,54.0785,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player68OnsetTimes,14.6920,15.7215,15.9584,17.7817,19.3129,20.3663,21.0818,23.2093,24.5882,25.2281,26.0922,27.6656,28.5923,29.2996,30.8989,32.0486,32.8472,34.4202,35.4005,36.9521,37.9645,39.0159,40.2469,42.8872,44.0779,44.5761,45.7649,46.8057,47.7856,48.7596,49.7679,50.8442,51.9431,53.0125,54.0472,55.0466,56.0549,57.0894,58.1501,59.2173,60.2722,61.3119,62.3360,63.3532,64.3867,65.4168,66.4417,67.4634,68.4875,69.5246,70.5479,71.5755,72.5997,73.6183,74.6331,75.6573
Player69OnsetTimes,14.2972,15.3309,15.8521,18.2578,19.8778,20.5869,21.2105,23.0137,24.2889,25.0717,26.3651,27.2610,27.9941,29.9930,31.2258,31.8682,32.4283,34.2627,35.5451,36.4443,38.2509,39.6633,40.6936,42.4007,43.2634,44.9647,46.1529,46.9220,47.6156,49.4069,50.5408,51.1426,51.6641,52.5017,53.7260,55.0947,56.3357,57.3415,58.1955,59.0773,60.0853,61.2063,62.3514,63.4462,64.4485,65.4014,66.3809,67.4043,68.4726,69.5392,70.5793,71.5911,72.5821,73.5856,74.5996,75.6427
Player70OnsetTimes,13.1539,15.7446,17.1032,18.0182,18.7240,20.4813,21.6368,22.6212,23.5963,24.6696,25.8369,27.0470,28.1872,29.3702,30.4868,31.6128,32.7427,33.8871,34.9824,37.3943,38.7503,39.5245,40.2215,42.2053,43.4398,44.4720,45.5708,46.7353,47.9022,48.9883,49.9583,50.9074,51.9120,52.9798,54.0785,55.1554,56.1952,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7032
Player71OnsetTimes,13.8037,15.3542,16.2362,17.4204,18.7588,20.0795,21.2219,22.5171,23.8223,24.9904,26.0113,26.9962,28.0287,29.2585,30.5095,31.7286,32.8588,33.9347,35.9907,37.1727,37.8058,39.6764,41.0694,41.9607,43.2287,44.4493,45.7182,46.9110,47.9789,48.9390,49.8629,50.8587,51.9431,53.0605,54.1394,55.1554,56.1496,57.1653,58.2105,59.2942,60.3513,61.3875,62.3970,63.4139,64.4340,65.4643,66.5035,67.5404,68.5648,69.5863,70.5941,71.6065,72.6320,73.6677,74.7011,75.7180
Player72OnsetTimes,13.2010,15.7911,17.1142,17.9948,18.7003,20.4938,21.6601,22.6332,23.5963,25.7167,26.8792,27.3190,28.0527,29.9814,31.1788,31.8333,32.4283,34.3095,35.6038,36.4680,38.2017,39.6047,40.6699,42.4695,43.3471,44.9647,46.0961,46.8642,47.6042,48.5419,49.6896,50.9229,52.0827,53.1071,54.0472,54.9840,55.9935,57.0894,58.1955,59.2778,60.3047,61.2961,62.2902,63.3232,64.3867,65.4487,66.4724,67.4788,68.4875,69.5059,70.5337,71.5755,72.6156,73.6349,74.6507,75.6573
Player73OnsetTimes,14.5752,15.6034,15.9247,17.9140,19.4744,20.4243,21.0340,23.0709,24.4848,25.2281,26.2463,27.0326,28.6734,29.8496,30.5902,32.0953,33.1147,33.8638,35.4460,36.6320,37.6069,38.8939,40.3975,41.8193,43.9972,45.2917,45.9687,46.5042,47.3485,48.5587,49.9107,51.1585,52.1803,53.0450,53.9223,54.9219,56.0401,57.1803,58.2737,59.2942,60.2722,61.2660,62.3050,63.3680,64.4340,65.4643,66.4724,67.4788,68.5025,69.5392,70.5793,71.6065,72.6156,73.6183,74.6331,75.6573
Player74OnsetTimes,13.4422,15.4983,16.6434,17.7317,18.7819,20.9686,22.0897,22.7288,24.0203,25.0134,25.8603,27.7580,28.8693,29.5204,30.7237,31.7175,32.6507,34.7142,35.8502,36.4214,37.8058,39.2403,40.6006,41.7700,43.6527,44.9760,45.8985,46.6650,47.5589,48.6646,49.8629,51.0321,52.0827,53.0450,53.9837,54.9840,56.0549,57.1499,58.2270,59.2778,60.2880,61.2961,62.3204,63.3680,64.4189,65.4487,66.4724,67.4942,68.5181,69.5392,70.5643,71.5911,72.6156,73.6349,74.6507,75.6727
Player75OnsetTimes,13.9913,15.5333,16.2845,17.3403,18.6432,20.0213,21.2451,22.5746,23.8465,24.9672,25.9637,26.9736,28.0287,29.2883,30.5441,31.7406,32.8472,33.9112,35.9781,37.1848,37.8291,39.6764,41.0575,41.9490,43.2173,44.4493,45.7182,46.9110,47.9789,48.9390,49.8629,50.8587,51.9431,53.0605,54.1394,55.1554,56.1496,57.1653,58.2105,59.2778,60.3357,61.3720,62.3970,63.4139,64.4340,65.4643,66.5035,67.5404,68.5648,69.5863,70.5941,71.6065,72.6320,73.6677,74.7011,75.7180
Player76OnsetTimes,12.7915,15.3776,16.9981,18.1798,18.9696,20.5058,21.4831,22.4595,23.5492,24.7424,25.9523,27.1192,28.1872,29.3229,30.4509,31.6128,32.7769,33.9231,35.0045,37.3824,38.7275,39.5125,40.2332,42.2408,43.4745,44.4941,45.5708,46.7237,47.8903,48.9883,49.9738,50.9378,51.9431,52.9959,54.0785,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player77OnsetTimes,12.8976,15.4745,17.0220,18.1342,18.9111,20.5170,21.5426,22.5052,23.5492,24.7074,25.9066,27.0963,28.1872,29.3346,30.4638,31.6240,32.7769,33.9112,34.9932,37.3824,38.7389,39.5245,40.2332,42.2170,43.4514,44.4830,45.5823,46.7474,47.9022,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player78OnsetTimes,13.1184,15.6984,17.0797,18.0182,18.7471,20.5058,21.6368,22.6098,23.5848,24.6696,25.8485,27.0591,28.1872,29.3583,30.4753,31.6128,32.7538,33.8986,34.9932,37.3943,38.7503,39.5245,40.2215,42.2053,43.4398,44.4720,45.5708,46.7353,47.9022,48.9883,49.9583,50.9074,51.9120,52.9798,54.0785,55.1554,56.1952,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player79OnsetTimes,12.9556,15.5333,17.0329,18.0994,18.8643,20.5170,21.5662,22.5282,23.5610,24.7074,25.9066,27.0963,28.1872,29.3346,30.4638,31.6240,32.7769,33.9112,34.9932,37.3704,38.7275,39.5125,40.2332,42.2296,43.4630,44.4830,45.5708,46.7353,47.9022,48.9883,49.9738,50.9378,51.9274,52.9798,54.0625,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player80OnsetTimes,13.3046,15.3776,16.6318,17.8065,18.8643,19.9038,22.0088,23.4282,24.1495,25.1406,25.9066,27.6193,28.6960,29.4506,30.1816,32.2719,33.6106,34.2507,35.1335,36.9521,38.1669,39.2282,40.3280,42.6869,43.8242,44.4830,46.0733,47.1960,47.9657,48.6646,49.5576,50.7016,51.9587,53.1379,54.1712,55.0947,56.0247,57.0288,58.1193,59.2329,60.3205,61.3569,62.3514,63.3383,64.3712,65.4168,66.4575,67.4942,68.5181,69.5392,70.5479,71.5602,72.5821,73.6183,74.6507,75.6727
Player81OnsetTimes,13.4891,15.5452,16.6548,17.7057,18.7471,20.9686,22.1140,22.7548,24.0084,24.9790,25.8369,27.7807,28.9042,29.5440,30.7006,31.6708,32.6164,34.7499,35.9078,36.4561,37.7477,39.1580,40.5518,41.7825,43.7333,45.0570,45.9214,46.6300,47.5013,48.6178,49.8471,51.0485,52.1151,53.0605,53.9837,54.9672,56.0401,57.1499,58.2423,59.2942,60.3047,61.2961,62.3050,63.3532,64.4189,65.4643,66.4878,67.4942,68.5025,69.5246,70.5643,71.6065,72.6320,73.6349,74.6331,75.6573
Player82OnsetTimes,14.0959,15.6387,16.3074,17.2909,18.5739,19.9846,21.2575,22.6098,23.8807,24.9790,25.9523,26.9503,28.0175,29.2883,30.5441,31.7406,32.8472,33.9112,35.9781,37.1727,37.8173,39.6882,41.0694,41.9490,43.2173,44.4367,45.7069,46.9110,47.9918,48.9567,49.8793,50.8587,51.9274,53.0450,54.1394,55.1710,56.1646,57.1653,58.1955,59.2491,60.3205,61.3720,62.3970,63.4139,64.4340,65.4643,66.5035,67.5404,68.5648,69.5863,70.5941,71.6065,72.6320,73.6677,74.7011,75.7180
Player83OnsetTimes,12.9556,15.5333,17.0329,18.0994,18.8643,20.5170,21.5662,22.5282,23.5610,24.7074,25.9066,27.0963,28.1872,29.3346,30.4638,31.6240,32.7769,33.9112,34.9932,37.3704,38.7275,39.5125,40.2332,42.2296,43.4630,44.4830,45.5708,46.7353,47.9022,48.9883,49.9738,50.9378,51.9274,52.9798,54.0625,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player84OnsetTimes,14.2624,15.8030,16.3544,17.2094,18.4589,19.9279,21.2812,22.6802,23.9270,24.9790,25.9179,27.9050,28.9958,29.5565,30.6192,31.6011,32.6278,33.7692,36.1103,37.3943,37.9183,39.4186,40.7050,41.7565,43.5092,44.8598,45.8985,46.7709,47.6842,48.7156,49.8314,50.9680,52.0513,53.0605,54.0472,55.0466,56.0866,57.1499,58.2105,59.2778,60.3205,61.3420,62.3514,63.3680,64.4022,65.4487,66.4878,67.5089,68.5330,69.5552,70.5793,71.6065,72.6320,73.6516,74.6676,75.6880
Player85OnsetTimes,12.8976,15.4745,17.0220,18.1342,18.9111,20.5170,21.5426,22.5052,23.5492,24.7074,25.9066,27.0963,28.1872,29.3346,30.4638,31.6240,32.7769,33.9112,34.9932,37.3824,38.7389,39.5245,40.2332,42.2170,43.4514,44.4830,45.5823,46.7474,47.9022,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player86OnsetTimes,14.7746,15.8030,15.9696,17.6802,19.1988,20.3204,21.1281,22.2303,23.5723,24.9318,26.1158,27.1315,28.0649,29.1869,30.3938,31.6593,32.8588,33.9692,34.9824,37.2785,38.6438,39.5010,40.2815,42.2972,43.4977,44.4720,45.5372,46.6992,47.8903,49.0030,49.9898,50.9378,51.9274,52.9798,54.0625,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player87OnsetTimes,14.1427,15.6866,16.3200,17.2677,18.5393,19.9622,21.2575,22.6332,23.9036,24.9790,25.9294,26.9262,28.0059,29.2883,30.5556,31.7522,32.8472,33.8986,35.9667,37.1727,37.8173,39.6882,41.0694,41.9490,43.2173,44.4367,45.7069,46.8986,47.9789,48.9390,49.8629,50.8587,51.9431,53.0605,54.1394,55.1554,56.1496,57.1499,58.1955,59.2778,60.3513,61.3875,62.3970,63.3980,64.4189,65.4643,66.5035,67.5404,68.5648,69.5863,70.5941,71.6065,72.6320,73.6677,74.7011,75.7180
Player88OnsetTimes,13.6990,15.7561,16.7131,17.6050,18.5975,20.9686,22.2190,22.8511,23.9505,24.8502,25.7512,27.8828,29.0653,29.6265,30.5441,31.4496,32.5106,34.9579,36.1926,36.5844,37.4548,40.0741,41.6844,42.2408,43.2868,45.2078,46.3748,46.9560,47.4788,49.1879,50.4146,51.1585,51.7712,52.5947,53.7260,55.0160,56.2422,57.2794,58.1803,59.0923,60.1010,61.2063,62.3360,63.4139,64.4189,65.3869,66.3650,67.3897,68.4577,69.5246,70.5643,71.5755,72.5657,73.5673,74.5996,75.6427
Player89OnsetTimes,12.9673,15.5452,17.0443,18.0994,18.8536,20.5058,21.5662,22.5399,23.5723,24.7074,25.8947,27.0840,28.1872,29.3465,30.4753,31.6240,32.7656,33.8986,34.9824,37.3824,38.7503,39.5356,40.2469,42.2170,43.4398,44.4720,45.5708,46.7353,47.9022,48.9883,49.9738,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player90OnsetTimes,13.0707,15.6510,17.0686,18.0422,18.7819,20.5058,21.6133,22.5868,23.5848,24.6837,25.8603,27.0591,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4398,44.4720,45.5708,46.7353,47.9022,48.9883,49.9738,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player91OnsetTimes,13.1184,15.6984,17.0797,18.0182,18.7471,20.5058,21.6368,22.6098,23.5848,24.6696,25.8485,27.0591,28.1872,29.3583,30.4753,31.6128,32.7538,33.8986,34.9932,37.3943,38.7503,39.5245,40.2215,42.2053,43.4398,44.4720,45.5708,46.7353,47.9022,48.9883,49.9583,50.9074,51.9120,52.9798,54.0785,55.1554,56.1952,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player92OnsetTimes,13.0484,15.6267,17.0686,18.0653,18.8048,20.5058,21.6014,22.5746,23.5723,24.6837,25.8718,27.0712,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4514,44.4830,45.5823,46.7353,47.8903,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
