Player50OnsetTimes,75.2430,77.3208,78.2276,79.0553,79.8394,81.4003,82.1431,82.6336,83.1867,84.5932,85.4136,85.9395,86.3862,87.5330,88.3195,88.9600,89.5563,90.2123,90.9483,91.8450,92.7188,93.4542,94.0528,94.7080,95.4158,96.1572,96.8775,97.5574,98.2126,98.8603,99.5410,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player51OnsetTimes,75.0389,77.6442,78.7033,79.2902,79.7304,80.9370,81.7489,82.5713,83.4062,84.1635,84.8192,85.6520,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player52OnsetTimes,75.1020,77.7075,78.7193,79.2588,79.6830,80.9370,81.7814,82.6025,83.4062,84.1459,84.8044,85.6520,86.5496,87.3460,88.0243,88.8039,89.6337,90.4148,91.1073,91.8795,92.6572,93.3906,94.0528,94.7583,95.4772,96.1888,96.8775,97.5408,98.2126,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,111.9977,112.6914
Player53OnsetTimes,75.0556,77.6601,78.7033,79.2748,79.7151,80.9370,81.7651,82.5869,83.4062,84.1459,84.8044,85.6520,86.5496,87.3460,88.0243,88.8039,89.6337,90.4148,91.1073,91.8795,92.6572,93.3906,94.0528,94.7583,95.4772,96.1888,96.8775,97.5408,98.2126,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player54OnsetTimes,76.4057,77.4486,77.9765,79.4311,80.3863,80.8761,81.5322,82.3846,83.3597,84.2443,84.9325,85.7007,86.4852,87.2355,87.9445,88.8039,89.6800,90.4615,91.1073,91.8273,92.5949,93.3594,94.0528,94.7740,95.4923,96.1888,96.8618,97.5260,98.1971,98.8758,99.5721,100.2793,100.9771,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1564,107.8395,108.5300,109.2269,109.9281,110.6353,111.3166,111.9814,112.6593
Player55OnsetTimes,75.1020,77.7075,78.7193,79.2588,79.6830,80.9370,81.7814,82.6025,83.4062,84.1459,84.8044,85.6520,86.5496,87.3460,88.0243,88.8039,89.6337,90.4148,91.1073,91.8795,92.6572,93.3906,94.0528,94.7583,95.4772,96.1888,96.8775,97.5408,98.2126,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,111.9977,112.6914
Player56OnsetTimes,76.0931,77.6601,77.9450,79.0870,80.0734,80.8141,81.9532,82.8525,83.5300,84.0785,85.1942,86.0826,86.6783,87.1411,88.2732,89.1840,89.8060,90.2918,91.3904,92.2228,92.7644,93.2175,93.7680,94.5745,95.4772,96.2976,96.9555,97.5260,98.1025,98.7645,99.5076,100.2793,101.0096,101.6869,102.3364,102.9808,103.6560,104.3712,105.0936,105.7985,106.4694,107.1407,107.8243,108.5146,109.2116,109.9111,110.5962,111.2848,111.9667,112.6593
Player57OnsetTimes,75.1948,77.2741,78.2276,79.0870,79.8702,81.3842,82.1109,82.6180,83.1867,84.6257,85.4444,85.9395,86.3547,87.5019,88.3043,88.9600,89.5715,90.2279,90.9483,91.8450,92.7188,93.4542,94.0528,94.7080,95.4158,96.1572,96.8775,97.5574,98.2126,98.8603,99.5410,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player58OnsetTimes,75.0707,77.6753,78.7193,79.2902,79.7151,80.9070,81.7337,82.5713,83.4062,84.1635,84.8192,85.6520,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player59OnsetTimes,75.4171,77.4970,78.2831,78.9770,79.7151,81.3676,82.2086,82.7271,83.2186,84.4841,85.2733,85.8757,86.4189,87.6573,88.4140,88.9600,89.4790,90.7913,91.5789,92.0615,92.4667,93.5944,94.3674,94.8968,95.3680,95.9519,96.6874,97.4920,98.2597,98.9408,99.5721,100.2047,100.8829,101.6079,102.3364,103.0433,103.7189,104.3869,105.0612,105.7513,106.4534,107.1407,107.8243,108.5146,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player60OnsetTimes,75.0085,77.6280,78.7033,79.3062,79.7467,80.9370,81.7489,82.5713,83.4062,84.1635,84.8192,85.6520,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player61OnsetTimes,76.5938,77.6442,78.1658,79.3062,80.1205,80.7035,81.7489,82.7271,83.5460,84.1786,84.7246,85.5432,86.4852,87.3460,88.0558,88.8189,89.6019,90.3686,91.0753,91.8618,92.6572,93.3906,94.0376,94.7427,95.4620,96.1730,96.8618,97.5260,98.1971,98.8758,99.5721,100.2793,100.9771,101.6567,102.3364,103.0277,103.7189,104.4019,105.0936,105.7818,106.4694,107.1564,107.8395,108.5300,109.2269,109.9281,110.6207,111.3007,111.9814,112.6752
Player62OnsetTimes,75.1174,77.7237,78.7193,79.2431,79.6675,80.9370,81.7971,82.6180,83.4062,84.1295,84.7877,85.6367,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.4923,96.1888,96.8618,97.5260,98.1971,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player63OnsetTimes,75.6206,77.7075,78.3387,78.8806,80.2620,81.1598,81.5940,82.9167,83.8549,84.3563,84.6746,86.0356,87.0089,87.5019,87.8333,89.1343,90.0699,90.5876,90.9330,92.1577,93.0297,93.5315,93.8924,94.4633,95.2736,96.1730,96.9708,97.6199,98.1803,98.7645,99.4456,100.2047,100.9619,101.6869,102.3525,102.9962,103.6560,104.3547,105.0612,105.7667,106.4694,107.1564,107.8243,108.4991,109.1961,109.8939,110.5962,111.2848,111.9667,112.6593
Player64OnsetTimes,75.1485,77.2253,78.2116,79.1029,79.9011,81.4003,82.0953,82.5869,83.1703,84.6591,85.4925,85.9720,86.3547,87.4404,88.2414,88.9445,89.6019,90.2758,90.9793,91.8450,92.7040,93.4386,94.0528,94.7249,95.4466,96.1730,96.8618,97.5260,98.1971,98.8758,99.5721,100.2793,100.9771,101.6567,102.3364,103.0130,103.7037,104.4019,105.0936,105.7818,106.4694,107.1564,107.8395,108.5300,109.2269,109.9281,110.6207,111.3007,111.9814,112.6752
Player65OnsetTimes,75.3537,77.4334,78.2651,79.0084,79.7617,81.3842,82.1914,82.6956,83.2023,84.5303,85.3349,85.8914,86.3862,87.5936,88.3821,88.9759,89.5259,90.8066,91.5614,92.0283,92.4510,93.0467,93.8294,94.7583,95.6338,96.3288,96.8775,97.4126,98.0561,98.8133,99.6034,100.3425,101.0096,101.6406,102.2889,102.9808,103.7037,104.4174,105.1088,105.7818,106.4534,107.1407,107.8395,108.5300,109.2116,109.8939,110.5962,111.3007,111.9977,112.6752
Player66OnsetTimes,75.4012,77.4815,78.2831,78.9922,79.7304,81.3842,82.2086,82.7112,83.2023,84.4996,85.3033,85.8914,86.4189,87.6244,88.3821,88.9445,89.4944,90.8222,91.5942,92.0450,92.4510,93.6094,94.3979,94.9124,95.3524,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player67OnsetTimes,75.2121,77.2890,78.2276,79.0704,79.8544,81.3842,82.1268,82.6336,83.1867,84.6096,85.4290,85.9395,86.3704,87.5173,88.3195,88.9600,89.5563,90.2123,90.9483,91.8450,92.7188,93.4542,94.0528,94.7080,95.4158,96.1572,96.8775,97.5574,98.2126,98.8603,99.5410,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player68OnsetTimes,75.1174,77.7237,78.7193,79.2431,79.6675,80.9370,81.7971,82.6180,83.4062,84.1295,84.7877,85.6367,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.4923,96.1888,96.8618,97.5260,98.1971,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player69OnsetTimes,75.3537,77.4334,78.2651,79.0084,79.7617,81.3842,82.1914,82.6956,83.2023,84.5303,85.3349,85.8914,86.3862,87.5936,88.3821,88.9759,89.5259,90.8066,91.5614,92.0283,92.4510,93.0467,93.8294,94.7583,95.6338,96.3288,96.8775,97.4126,98.0561,98.8133,99.6034,100.3425,101.0096,101.6406,102.2889,102.9808,103.7037,104.4174,105.1088,105.7818,106.4534,107.1407,107.8395,108.5300,109.2116,109.8939,110.5962,111.3007,111.9977,112.6752
Player70OnsetTimes,75.2430,77.3208,78.2276,79.0553,79.8394,81.4003,82.1431,82.6336,83.1867,84.5932,85.4136,85.9395,86.3862,87.5330,88.3195,88.9600,89.5563,90.2123,90.9483,91.8450,92.7188,93.4542,94.0528,94.7080,95.4158,96.1572,96.8775,97.5574,98.2126,98.8603,99.5410,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player71OnsetTimes,75.4788,77.5633,78.3025,78.9455,79.6675,81.3842,82.2560,82.7589,83.2186,84.4530,85.2418,85.8591,86.4189,87.6725,88.4299,88.9600,89.4790,90.7913,91.5789,92.0450,92.4510,93.6094,94.3979,94.9124,95.3524,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0433,103.7189,104.3869,105.0612,105.7513,106.4534,107.1407,107.8243,108.5146,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player72OnsetTimes,75.2274,77.3047,78.2276,79.0704,79.8544,81.3842,82.1109,82.6180,83.1867,84.6257,85.4444,85.9395,86.3547,87.5019,88.3043,88.9600,89.5715,90.2279,90.9483,91.8450,92.7188,93.4542,94.0528,94.7080,95.4158,96.1572,96.8775,97.5574,98.2126,98.8603,99.5410,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player73OnsetTimes,75.2430,77.3208,78.2276,79.0553,79.8394,81.4003,82.1431,82.6336,83.1867,84.5932,85.4136,85.9395,86.3862,87.5330,88.3195,88.9600,89.5563,90.2123,90.9483,91.8450,92.7188,93.4542,94.0528,94.7080,95.4158,96.1572,96.8775,97.5574,98.2126,98.8603,99.5410,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player74OnsetTimes,77.2089,77.7388,78.2651,78.7690,80.2451,81.2071,81.6397,82.8525,83.7437,84.2786,84.6746,86.1294,87.0903,87.5019,87.9930,89.2563,90.0699,90.4938,91.1547,91.8273,92.5310,93.2488,93.9558,94.7249,95.4772,96.1730,96.8147,97.4444,98.1183,98.8291,99.5563,100.2793,100.9619,101.6240,102.2889,102.9648,103.6713,104.3869,105.0781,105.7513,106.4227,107.1077,107.8073,108.5146,109.2116,109.8939,110.5802,111.2690,111.9503,112.6441
Player75OnsetTimes,75.1174,77.7237,78.7193,79.2431,79.6675,80.9370,81.7971,82.6180,83.4062,84.1295,84.7877,85.6367,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.4923,96.1888,96.8618,97.5260,98.1971,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player76OnsetTimes,75.8410,77.4005,77.8659,79.3838,80.4331,80.9683,81.5785,82.3687,83.3124,84.2100,84.9325,85.7328,86.5333,87.2666,87.9445,88.7862,89.6648,90.4615,91.1226,91.8618,92.6262,93.3594,94.0376,94.7583,95.4923,96.2053,96.8775,97.5260,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,111.9977,112.6914
Player77OnsetTimes,75.7942,77.3526,77.8659,79.4469,80.4959,80.9840,81.5007,82.2870,83.2968,84.2611,84.9988,85.7648,86.5170,87.2195,87.9136,88.7862,89.6957,90.4938,91.1382,91.8450,92.5949,93.3437,94.0528,94.7897,95.5239,96.2211,96.8775,97.5087,98.1650,98.8603,99.5878,100.3114,101.0096,101.6719,102.3364,103.0130,103.7189,104.4333,105.1244,105.7985,106.4694,107.1564,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,111.9977,112.6914
Player78OnsetTimes,75.4788,77.5633,78.3025,78.9455,79.6675,81.3842,82.2560,82.7589,83.2186,84.4530,85.2418,85.8591,86.4189,87.6725,88.4299,88.9600,89.4790,90.7913,91.5789,92.0450,92.4510,93.6094,94.3979,94.9124,95.3524,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0433,103.7189,104.3869,105.0612,105.7513,106.4534,107.1407,107.8243,108.5146,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player79OnsetTimes,75.1644,77.2425,78.2116,79.1029,79.9011,81.4003,82.0953,82.5869,83.1703,84.6591,85.4925,85.9720,86.3547,87.4404,88.2414,88.9445,89.6019,90.2758,90.9793,91.8273,92.6882,93.4386,94.0682,94.7249,95.4314,96.1572,96.8618,97.5408,98.2126,98.8758,99.5563,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player80OnsetTimes,75.8716,77.4334,77.8810,79.3518,80.3863,80.9370,81.6094,82.4318,83.3597,84.2100,84.9008,85.7007,86.5170,87.2666,87.9605,88.8039,89.6800,90.4615,91.1226,91.8618,92.6262,93.3594,94.0376,94.7583,95.4923,96.2053,96.8775,97.5260,98.1803,98.8603,99.5721,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2269,109.9111,110.6207,111.3166,111.9977,112.6752
Player81OnsetTimes,75.4483,77.5289,78.3025,78.9770,79.7003,81.3514,82.1914,82.7112,83.2186,84.5147,85.3033,85.8757,86.4018,87.6408,88.4140,88.9759,89.4944,90.7748,91.5457,92.0283,92.4667,93.0657,93.8294,94.7427,95.6023,96.2976,96.8775,97.4444,98.0872,98.8133,99.5721,100.3114,100.9941,101.6406,102.2889,102.9808,103.7037,104.4174,105.1088,105.7818,106.4534,107.1242,107.8243,108.5300,109.2269,109.9111,110.5962,111.2848,111.9814,112.6752
Player82OnsetTimes,75.3375,77.4162,78.2651,79.0234,79.7782,81.3676,82.1600,82.6645,83.2023,84.5776,85.3820,85.9074,86.3704,87.5481,88.3349,88.9600,89.5412,90.1945,90.9330,91.8450,92.7341,93.4692,94.0528,94.6837,95.4002,96.1572,96.8775,97.5574,98.2126,98.8603,99.5410,100.2527,100.9619,101.6567,102.3364,103.0130,103.7037,104.4019,105.0936,105.7818,106.4694,107.1564,107.8395,108.5300,109.2269,109.9111,110.5962,111.2848,111.9814,112.6752
Player83OnsetTimes,75.0389,77.6442,78.7033,79.2902,79.7304,80.9370,81.7489,82.5713,83.4062,84.1635,84.8192,85.6520,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player84OnsetTimes,75.1330,77.7388,78.7351,79.2588,79.6675,80.9218,81.7814,82.6180,83.4216,84.1459,84.7877,85.6367,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.4923,96.1888,96.8618,97.5260,98.1971,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,111.9977,112.6914
Player85OnsetTimes,75.5589,77.6442,78.3228,78.9124,79.6205,81.3676,82.2715,82.7740,83.2186,84.4217,85.2106,85.8430,86.4348,87.7172,88.4628,88.9600,89.4479,90.7592,91.5614,92.0615,92.4823,93.0467,93.7993,94.7249,95.6176,96.3288,96.8923,97.4283,98.0561,98.7977,99.5878,100.3271,100.9941,101.6240,102.2735,102.9648,103.6871,104.4174,105.1088,105.7818,106.4534,107.1242,107.8073,108.5146,109.2269,109.9281,110.6207,111.2848,111.9503,112.6441
Player86OnsetTimes,75.0556,77.6601,78.7033,79.2748,79.7151,80.9370,81.7651,82.5869,83.4062,84.1459,84.8044,85.6520,86.5496,87.3460,88.0243,88.8039,89.6337,90.4148,91.1073,91.8795,92.6572,93.3906,94.0528,94.7583,95.4772,96.1888,96.8775,97.5408,98.2126,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player87OnsetTimes,75.0085,77.6280,78.7033,79.3062,79.7467,80.9370,81.7489,82.5713,83.4062,84.1635,84.8192,85.6520,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player88OnsetTimes,75.5434,77.6442,78.3387,78.9295,79.6205,81.3514,82.2560,82.7740,83.2348,84.4372,85.2106,85.8430,86.4348,87.7172,88.4628,88.9600,89.4479,90.7592,91.5614,92.0615,92.4823,93.0467,93.7993,94.7249,95.6176,96.3288,96.8923,97.4283,98.0561,98.7977,99.5878,100.3271,100.9941,101.6240,102.2735,102.9648,103.6871,104.4174,105.1088,105.7818,106.4534,107.1242,107.8073,108.5146,109.2269,109.9281,110.6207,111.2848,111.9503,112.6441
Player89OnsetTimes,75.9831,77.5466,77.9135,79.2119,80.2139,80.8761,81.7971,82.6645,83.4531,84.1295,84.7560,85.6063,86.5333,87.3460,88.0243,88.8039,89.6176,90.3991,91.1073,91.8795,92.6572,93.3749,94.0376,94.7583,95.4923,96.2053,96.8775,97.5260,98.1803,98.8603,99.5721,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2269,109.9111,110.6207,111.3166,111.9977,112.6752
Player90OnsetTimes,75.1798,77.2583,78.2116,79.0870,79.8863,81.4160,82.1268,82.6025,83.1546,84.6257,85.4606,85.9563,86.3704,87.4865,88.2732,88.9445,89.5715,90.2451,90.9640,91.8450,92.7188,93.4542,94.0528,94.7080,95.4158,96.1572,96.8775,97.5574,98.2126,98.8603,99.5410,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player91OnsetTimes,75.3854,77.4645,78.2831,79.0084,79.7467,81.3676,82.1756,82.6799,83.2023,84.5463,85.3496,85.9074,86.4018,87.5936,88.3656,88.9600,89.5259,90.8378,91.5942,92.0283,92.4197,93.6094,94.4136,94.9285,95.3680,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player92OnsetTimes,76.7376,77.2583,77.7877,79.4932,80.5884,81.0323,81.5785,82.3209,83.2661,84.1944,84.9483,85.7486,86.5333,87.2355,87.9136,88.7705,89.6648,90.4615,91.1226,91.8450,92.5949,93.3437,94.0376,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9771,101.6567,102.3364,103.0277,103.7189,104.4174,105.1088,105.7818,106.4534,107.1407,107.8395,108.5460,109.2430,109.9281,110.6207,111.3007,111.9814,112.6752
Player93OnsetTimes,75.2902,77.3685,78.2430,79.0390,79.8088,81.4003,82.1756,82.6645,83.1867,84.5618,85.3820,85.9240,86.3862,87.5481,88.3349,88.9600,89.5412,90.1945,90.9330,91.8450,92.7341,93.4692,94.0528,94.6837,95.4002,96.1572,96.8775,97.5574,98.2126,98.8603,99.5410,100.2527,100.9619,101.6567,102.3364,103.0130,103.7037,104.4019,105.0936,105.7818,106.4694,107.1564,107.8395,108.5300,109.2269,109.9111,110.5962,111.2848,111.9814,112.6752
Player94OnsetTimes,75.5749,77.6601,78.3387,78.9124,79.6027,81.3514,82.2560,82.7740,83.2348,84.4372,85.2106,85.8430,86.4348,87.7172,88.4628,88.9600,89.4479,90.7592,91.5614,92.0615,92.4823,93.0467,93.7993,94.7249,95.6176,96.3288,96.8923,97.4283,98.0561,98.7977,99.5878,100.3271,100.9941,101.6240,102.2735,102.9648,103.6871,104.4174,105.1088,105.7818,106.4534,107.1242,107.8073,108.5146,109.2269,109.9281,110.6207,111.2848,111.9503,112.6441
Player95OnsetTimes,75.0707,77.6753,78.7193,79.2902,79.7151,80.9070,81.7337,82.5713,83.4062,84.1635,84.8192,85.6520,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player96OnsetTimes,76.0471,77.6280,77.9450,79.1179,80.1048,80.8297,81.9078,82.8056,83.5146,84.0983,84.6746,85.5432,86.5170,87.3774,88.0712,88.8189,89.6019,90.3686,91.0753,91.8795,92.6727,93.3906,94.0376,94.7427,95.4772,96.2053,96.8923,97.5408,98.1971,98.8758,99.5721,100.2793,100.9771,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2269,109.9111,110.6207,111.3166,111.9977,112.6752
